Title,Genres,Anime_Rank,Anime_Popularity,Anime_Score,Episodes,Episode_length,Stream_type,Start date,End date,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Manga_Chapters,Manga_Published,Manga_Demographics,Manga_Serialization,Manga_Author,Manga
Queen's Blade: Utsukushiki Toushi-tachi,"Action,Adventure,Fantasy,Ecchi",6055,4167,6.55,6,29 min. per ep.,OVA ,Aug 2010 , Mar 2011,22977,,,,,,,,,,False
Pokemon XY&Z: Subete no Nazo wo Tokiakase!,"Action,Adventure,Fantasy",6052,7829,6.55,1,51 min.,TV Special ,Dec 2015 , Dec 2015,4956,,,,,,,,,,False
"Maou-sama, Retry!","Action,Adventure,Fantasy",6073,968,6.54,12,23 min. per ep.,TV ,Jul 2019 , Sep 2019,249624,7.35,4153.0,7206.0,2542.0,Unknown,"Jun  30, 2017 to ?",[],,"Ogata, Kouji (Art), Kanzaki, Kurone (Story)",True
Naruto: Akaki Yotsuba no Clover wo Sagase,"Adventure,Comedy",6045,2022,6.55,1,17 min.,Special ,May 2003 , May 2003,87768,,,,,,,,,,False
Pokemon Diamond & Pearl Atsumare! Pokemon Planet Center,"Action,Adventure,Comedy,Fantasy",6051,10498,6.55,1,26 min.,Movie ,Jul 2006 , Jul 2006,2286,,,,,,,,,,False
Mama wa Poyopoyo Saurus ga Osuki,"Comedy,Slice of Life",6044,12480,6.55,52,23 min. per ep.,TV ,Sep 1995 , Aug 1996,994,,,,,,,,,,False
Saint October,"Adventure,Fantasy",6057,6794,6.55,26,25 min. per ep.,TV ,Jan 2007 , Jun 2007,7456,,,,,,,,,,False
Kurogane no Linebarrels Specials,"Action,Comedy,Ecchi",6040,7328,6.55,2,23 min. per ep.,Special ,Aug 2009 , Nov 2009,5387,,,,,,,,,,False
Kanokon: Manatsu no Dai Shanikusai,"Romance,Slice of Life,Ecchi",6037,2893,6.55,2,25 min. per ep.,OVA ,Oct 2009 , Oct 2009,45527,,,,,,,,,,False
Kishin Houkou Demonbane (TV),"Action,Romance,Ecchi",6039,3202,6.55,12,25 min. per ep.,TV ,May 2006 , Aug 2006,37218,,,,,,,,,,False
