Title,Genres,Anime_Rank,Anime_Popularity,Anime_Score,Episodes,Episode_length,Stream_type,Start date,End date,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Manga_Chapters,Manga_Published,Manga_Demographics,Manga_Serialization,Manga_Author,Manga
Ganbare Genki,"Action,Comedy,Sports",2285,9458,7.34,35,23 min. per ep.,TV ,Jul 1980 , Apr 1981,3295,7.55,2523.0,18825.0,655.0,225,1976 to  1981,['Shounen'],Shounen Sunday,"Koyama, Yuu (Story & Art)",True
Mushibugyou,"Action,Fantasy,Ecchi",2345,1960,7.32,26,23 min. per ep.,TV ,Apr 2013 , Sep 2013,91797,7.01,8635.0,7702.0,2347.0,15,"Aug  25, 2009 to Sep  25, 2010",['Shounen'],Shounen Sunday Super,"Fukuda, Hiroshi (Story & Art)",True
"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu","Action,Fantasy",2397,1395,7.31,12,23 min. per ep.,TV ,Apr 2022 , Jun 2022,311893,7.22,5624.0,4291.0,4546.0,Unknown,"Jun  25, 2015 to ?",[],,"KeG (Art), Hakari, Enki (Story)",True
GJ-bu,"Comedy,Slice of Life",2400,1185,7.31,12,23 min. per ep.,TV ,Jan 2013 , Mar 2013,175993,7.44,3353.0,11729.0,1348.0,324,"Mar  18, 2010 to Mar  16, 2012",[],,"Araki, Shin (Story), Aruya (Art)",True
Senyuu.,"Action,Comedy,Fantasy",2450,1607,7.3,13,4 min. per ep.,TV ,Jan 2013 , Apr 2013,117042,7.95,856.0,3722.0,5336.0,32,"May  2, 2012 to Apr  4, 2013",['Shounen'],Jump SQ.,"Haruhara, Robinson (Story & Art)",True
Ginban Kaleidoscope,"Drama,Romance,Sports,Supernatural",2398,2735,7.31,12,24 min. per ep.,TV ,Oct 2005 , Dec 2005,50366,7.17,6288.0,17865.0,713.0,Unknown,"Aug  20, 2005 to  2006",['Shoujo'],Margaret,"Hasegawa, Jun (Art), Kaibara, Rei (Story)",True
Tales of the Abyss,"Adventure,Drama,Fantasy",2549,1522,7.29,26,24 min. per ep.,TV ,Oct 2008 , Mar 2009,123680,7.41,3609.0,6762.0,2750.0,53,"Oct  27, 2005 to Nov  27, 2010",['Seinen'],Dengeki Maoh,"Rei (Art), Bandai-Namco (Story)",True
Cuticle Tantei Inaba,"Action,Comedy,Mystery,Supernatural",2600,1789,7.27,12,23 min. per ep.,TV ,Jan 2013 , Mar 2013,107013,7.39,3847.0,6984.0,2644.0,127,"Aug  18, 2007 to Mar  18, 2017",[],GFantasy,Mochi (Story & Art),True
MÄR,"Action,Adventure,Comedy,Fantasy",2649,2698,7.26,102,24 min. per ep.,TV ,Apr 2005 , Mar 2007,53456,7.36,4062.0,1145.0,15806.0,161,May  2003 to Jul  2006,['Shounen'],Shounen Sunday,"Anzai, Nobuyuki (Story & Art)",True
Mayo Chiki!,"Comedy,Romance,Ecchi",2647,398,7.26,13,24 min. per ep.,TV ,Jul 2011 , Sep 2011,497862,7.89,1023.0,2648.0,7496.0,76,"Nov  21, 2009 to Jul  23, 2012",[],,"Asano, Hajime (Story), Kikuchi, Seiji (Art)",True
Maoyuu Maou Yuusha,"Adventure,Fantasy,Romance",2645,421,7.26,12,23 min. per ep.,TV ,Jan 2013 , Mar 2013,490526,7.9,991.0,2683.0,7399.0,63,"Dec  29, 2010 to Jan  21, 2012",[],,"Touno, Mamare (Story), toi8 (Art)",True
Yamada-kun to 7-nin no Majo,"Comedy,Supernatural",2643,2513,7.27,1,2 min.,TV ,Apr 2015 , Jun 2015,795999,8.05,662.0,104.0,116588.0,246,"Feb  22, 2012 to Feb  22, 2017",['Shounen'],Shounen Magazine (Weekly),"Yoshikawa, Miki (Story & Art)",True
Koutetsujou no Kabaneri,"Action,Drama,Fantasy,Horror,Supernatural",2700,211,7.26,12,22 min. per ep.,TV ,Apr 2016 , Jul 2016,819508,7.79,1313.0,14691.0,978.0,Unknown,"Jul  9, 2016 to Aug  10, 2016",[],,"Miwa, Kiyomune (Story)",True
Kinnikuman,"Adventure,Comedy,Sports",2699,5448,7.26,137,24 min. per ep.,TV ,Apr 1983 , Oct 1986,13449,7.71,1643.0,4608.0,4220.0,Unknown,"May  15, 1979 to ?",['Shounen'],ShuuPlay News,Yudetamago (Story & Art),True
