PC1,PC2,Title,Anime_Score,Anime_Rank,Anime_Popularity,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Genre_1,Genre_2,Genre_3
-2.363528132774428,0.47534901630933507,Caramel Honey,6.8,4780.0,5016,15901,7.11,7062.0,3976.0,4988.0,Boys Love,Comedy,
-0.3101006044383575,1.0860072280501556,Gamers!,6.8,4789.0,297,657976,7.52,2778.0,3510.0,5670.0,Comedy,Romance,
-2.2638464397364553,-0.473198151122935,Attack No.1,6.8,4773.0,6029,10190,7.56,2479.0,17586.0,731.0,Drama,Sports,
-0.6243152018311773,0.6377477847329304,"Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!",6.8,4767.0,1254,192305,7.64,1989.0,4666.0,4157.0,Comedy,Fantasy,
-1.7179334064121918,1.367482511844826,Aho Girl,6.79,4802.0,415,499731,6.92,9882.0,917.0,19229.0,Comedy,Romance,
-0.5807028180350097,0.8726071695144112,Yozakura Quartet,6.81,4751.0,1328,159194,7.55,2550.0,1460.0,13148.0,Action,Comedy,Supernatural
-2.366771769566869,0.6554292418191564,Cossette no Shouzou,6.81,4704.0,2270,73611,6.95,9322.0,3861.0,5140.0,Drama,Horror,Romance
-0.7277171594528387,0.7633744429731443,Grappler Baki,6.81,4708.0,4674,22195,7.73,1549.0,669.0,25803.0,Action,Sports,
-3.0132478405190404,0.05126298415921825,Dear Boys,6.81,4705.0,4121,22590,6.98,8908.0,11551.0,1380.0,Drama,Sports,
-0.6279600509390132,1.298778265588689,Freezing,6.83,4630.0,641,326568,7.31,4617.0,408.0,40518.0,Action,Drama,Romance
-1.4700965722965735,0.5466738857916751,Seiken Tsukai no World Break,6.82,4657.0,699,313340,7.22,5618.0,7900.0,2274.0,Action,Fantasy,Romance
-1.3183168482311771,0.2522286569142038,Atom: The Beginning,6.83,4618.0,3512,31741,7.52,2775.0,6602.0,2836.0,Action,Sci-Fi,
-0.27786380054227355,1.0049179428337927,Devils Line,6.84,4587.0,837,272248,7.57,2422.0,849.0,20846.0,Action,Drama,Romance
-1.3785150904096317,0.3417749817547731,Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,6.84,4579.0,702,308489,7.31,4658.0,10394.0,1602.0,Comedy,Fantasy,Romance
-0.10464695589618098,1.0495240651522222,Gakusen Toshi Asterisk,6.84,4594.0,286,666162,7.57,2388.0,2903.0,6831.0,Action,Comedy,Fantasy
-0.4872410140096526,0.6378327090454484,Taimadou Gakuen 35 Shiken Shoutai,6.84,4571.0,689,313674,7.6,2215.0,5062.0,3805.0,Action,Fantasy,Romance
-2.390593158260626,0.4821106517527676,Onegai☆Twins,6.84,4563.0,1956,90444,6.95,9326.0,5946.0,3171.0,Comedy,Drama,Sci-Fi
-0.9047261991945996,0.8727811996357406,Zombie-Loan,6.85,4559.0,1391,140136,7.34,4290.0,970.0,18167.0,Action,Horror,Supernatural
-2.4273971961599163,-0.5202312950591139,Wata no Kuni Hoshi,6.85,4555.0,7218,6704,7.47,3129.0,15934.0,859.0,Drama,Fantasy,Romance
-2.7763127412734487,0.18795764233401838,Sakura Taisen,6.85,4546.0,3936,27471,6.97,9071.0,8299.0,2139.0,Adventure,Sci-Fi,
-1.6583076225091413,0.30514277390025324,Dragon Half,6.85,4527.0,4270,22387,7.34,4306.0,4858.0,3970.0,Comedy,Fantasy,
0.35314592474002837,1.3257873421443156,Kimi no Iru Machi,6.86,4519.0,1335,153251,7.9,981.0,212.0,70223.0,Drama,Romance,Slice of Life
0.47254507280864894,1.2163463153266565,Jitsu wa Watashi wa,6.86,4515.0,815,275437,7.97,804.0,339.0,46902.0,Comedy,Fantasy,Romance
-2.496547652776401,0.2769058866957272,Majimoji Rurumo,6.84,4560.0,2191,74620,6.99,8851.0,8794.0,1981.0,Comedy,Fantasy,Ecchi
-0.9015810666980927,0.8351876801098435,No Guns Life,6.86,4484.0,1103,196242,7.32,4535.0,1395.0,13651.0,Action,Drama,Sci-Fi
-2.1118762766148085,0.23012146558509716,Yaoguai Mingdan,6.87,4479.0,3869,26347,7.16,6422.0,6425.0,2915.0,Action,Comedy,Fantasy
-1.6385612724118586,0.6009422228274296,Sumomomo Momomo: Chijou Saikyou no Yome,6.87,4475.0,2353,68505,7.16,6460.0,2469.0,7965.0,Action,Comedy,Romance
-0.19512716627744386,1.0523678871671145,Zetman,6.86,4502.0,1447,137592,7.63,2031.0,396.0,41469.0,Action,Drama,Horror
0.2931815405594114,0.7648323676749125,Saihate no Paladin,6.87,4470.0,908,309028,8.05,645.0,2280.0,8531.0,Action,Adventure,Fantasy
-3.2087717634845188,-1.0293943260867586,Ninja Hattori-kun,6.87,4464.0,5647,12003,7.25,5305.0,25798.0,358.0,Comedy,Slice of Life,
-0.3381515809836771,0.36882019177704245,Ryuuou no Oshigoto!,6.87,4469.0,1106,196016,7.84,1150.0,6803.0,2727.0,Comedy,Slice of Life,
-2.570884144252197,0.014876501246670048,Ged Senki,6.87,4444.0,1420,149591,6.99,8849.0,13699.0,1087.0,Adventure,Fantasy,
-0.9103147884729421,0.6744959633896258,Musaigen no Phantom World,6.87,4460.0,370,549337,7.31,4570.0,6864.0,2696.0,Action,Comedy,Fantasy
-2.46608980280092,-0.05177491375152615,Binbou Shimai Monogatari,6.87,4437.0,4195,22381,7.13,6779.0,10680.0,1541.0,Comedy,Drama,Slice of Life
-2.086538305216919,0.031131486374685796,Koisuru Asteroid,6.88,4429.0,2062,90012,7.16,6420.0,11406.0,1404.0,Comedy,Slice of Life,
-0.6718900350438923,1.1540082332447006,Gokukoku no Brynhildr,6.88,4420.0,609,339783,7.27,5033.0,505.0,33543.0,Drama,Mystery,Sci-Fi
-0.2689450480871651,1.0086004070394226,B-gata H-kei,6.88,4411.0,508,393109,7.48,3075.0,938.0,18855.0,Comedy,Romance,Ecchi
-0.9063808981390123,0.9713556780059679,Tenjou Tenge,6.89,4391.0,1088,190731,7.25,5250.0,606.0,28527.0,Action,Comedy,Ecchi
-0.3952483232329447,0.7721792366280998,Koroshi Ai,6.89,4371.0,1533,170911,7.57,2427.0,1011.0,17577.0,Action,Romance,
-1.9201483563408954,0.606655809148937,Kurozuka,6.89,4372.0,1867,97833,7.02,8378.0,2761.0,7179.0,Action,Drama,Horror
-0.4468467572627565,1.0906419521345332,Isekai Maou to Shoukan Shoujo no Dorei Majutsu,6.89,4364.0,272,731791,7.31,4580.0,2127.0,9120.0,Comedy,Fantasy,Ecchi
-1.499622634454308,0.18776093294582827,Katte ni Kaizou,6.89,4369.0,3560,30265,7.37,3979.0,6054.0,3106.0,Comedy,Sci-Fi,
-0.63359689864059,0.572981197315989,Arslan Senki,6.9,4325.0,4181,22266,7.68,1800.0,811.0,21660.0,Action,Adventure,Drama
-0.24629892850778298,0.8983333034546417,Yesterday wo Utatte,6.9,4319.0,725,312042,7.52,2740.0,945.0,18658.0,Drama,Romance,Slice of Life
