Date,Comedy,Action,Drama,Romance,Fantasy,Adventure,Slice of Life,Supernatural,Sci-Fi,Mystery,Ecchi,Horror,Sports,Girls Love,Suspense,Boys Love,Gourmet,Avant Garde
2017-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017-04,6,6,2,3,5,2,3,1,3,0,0,0,0,0,0,0,0,0
2017-07,8,3,6,6,6,3,3,1,0,1,0,0,1,0,0,1,1,0
2017-09,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2017-10,5,2,2,3,5,1,3,0,3,2,0,0,0,1,0,0,1,0
2017-12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01,8,4,8,4,5,3,10,2,0,1,0,0,0,1,0,0,1,0
2018-02,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-04,2,3,2,2,1,1,2,0,1,0,0,1,0,0,1,0,0,0
2018-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2018-07,5,5,6,2,2,4,1,2,2,2,1,2,0,1,1,0,0,0
2018-08,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2018-09,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-10,6,5,3,4,2,3,2,0,0,1,0,0,1,2,0,0,0,0
2019-01,3,4,3,2,1,3,2,1,1,1,0,0,0,1,1,0,0,0
2019-03,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019-04,5,3,2,4,3,0,2,1,2,1,1,0,0,0,0,0,0,0
2019-06,0,0,3,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0
2019-07,7,6,6,4,5,6,2,1,2,1,2,0,0,0,0,1,0,0
2019-08,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-09,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019-10,4,1,2,1,3,0,2,1,1,0,0,0,0,0,0,0,1,0
2019-11,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0
2020-01,6,3,3,2,4,2,5,3,1,4,1,0,0,1,0,0,0,0
2020-04,4,2,4,2,2,0,4,1,0,1,0,0,1,0,0,0,0,0
2020-05,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-06,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07,3,3,0,1,3,1,1,0,1,0,1,0,0,0,0,0,0,0
2020-09,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10,3,5,1,4,7,3,2,3,1,2,0,1,0,1,2,0,0,0
2020-11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-01,5,1,2,2,3,1,4,3,1,1,1,0,0,1,0,0,0,0
2021-02,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
2021-03,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2021-04,8,4,4,4,4,2,5,3,2,0,0,0,1,0,1,0,0,0
2021-06,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2021-07,5,3,4,4,3,3,3,1,1,1,0,0,0,0,0,0,0,0
2021-08,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2021-09,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021-10,4,2,3,3,5,4,3,2,0,0,0,2,0,0,0,1,0,0
2021-12,1,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0
2022-01,2,3,1,2,5,4,3,1,0,0,0,0,1,0,0,1,0,0
2022-03,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-04,7,3,0,4,5,2,0,2,0,1,0,0,0,0,1,0,0,0
2022-07,4,1,0,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0
2022-08,1,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
2022-09,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2022-10,7,2,2,6,2,1,3,0,3,1,0,0,0,0,0,0,0,0
2022-12,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2023-01,4,3,0,3,3,2,2,1,0,1,0,0,1,0,0,0,0,0
2023-04,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10,2,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
2024-01,0,2,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0
