Date,Comedy,Action,Drama,Romance,Fantasy,Adventure,Slice of Life,Sci-Fi,Supernatural,Mystery,Ecchi,Horror,Sports,Suspense,Girls Love,Gourmet,Boys Love,Avant Garde
2015-10,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-11,2,0,1,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0
2015-12,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-02,5,2,0,0,1,0,2,1,0,0,1,0,0,0,0,0,1,0
2016-03,0,2,3,1,2,1,0,2,0,2,0,0,1,0,0,0,0,0
2016-04,1,2,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
2016-05,2,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-06,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
2016-07,2,3,1,3,1,0,0,1,1,0,1,0,0,0,0,0,0,0
2016-08,5,3,2,2,2,1,2,0,0,1,0,0,0,0,0,0,0,0
2016-09,2,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
2016-10,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
2016-11,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2016-12,3,3,1,1,3,0,3,0,1,0,0,0,0,0,0,0,0,0
2017-01,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
2017-02,4,3,0,1,1,1,0,1,2,0,0,0,0,1,1,0,0,0
2017-03,4,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0
2017-04,1,2,1,1,0,2,0,0,0,0,1,0,1,0,0,0,1,0
2017-05,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2017-07,1,2,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
2017-08,3,1,0,1,1,0,2,0,1,0,0,0,0,0,1,0,0,0
2017-09,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
2017-10,1,1,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0
2017-11,1,0,1,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0
2017-12,5,3,1,3,4,3,0,2,2,1,1,0,0,0,0,0,0,0
2018-01,4,0,0,2,0,1,1,1,1,1,0,0,2,0,0,0,0,0
2018-02,2,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
2018-03,2,2,3,3,1,0,2,0,0,0,2,0,0,0,0,0,0,0
2018-04,1,2,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0
2018-05,3,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2018-06,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07,2,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2018-08,3,3,3,2,3,2,1,1,0,0,1,0,0,0,0,0,0,0
2018-09,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-10,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2018-11,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2018-12,4,1,0,2,1,0,1,1,2,0,1,0,0,0,0,1,0,0
