Title,Genres,Anime_Rank,Anime_Popularity,Anime_Score,Episodes,Episode_length,Stream_type,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Manga_Chapters,Manga_Published,Manga_Demographics,Manga_Serialization,Manga_Author,Manga,Genre_1,Genre_2,Genre_3,Anime_StartDate,Anime_EndDate,Manga_StartDate,Manga_EndDate
Triage X,"Action,Adventure,Ecchi",7272,1311,6.32,10,23 min. per ep.,TV ,166050,7.12,6957.0,1590.0,12152.0,Unknown,"Apr  9, 2009 to ?",['Shounen'],Dragon Age,"Satou, Shouji (Story & Art)",True,Action,Adventure,Ecchi,2015-04-01,2015-06-01,2009-04-09,Ongoing or Hiatus
Hundred,"Action,Romance,Sci-Fi,Ecchi",7221,568,6.33,12,24 min. per ep.,TV ,373781,7.31,4565.0,6779.0,2738.0,116,"Nov  15, 2012 to Oct  15, 2018",[],,"Ookuma, Nekosuke (Art), Misaki, Jun (Story)",True,Action,Romance,Sci-Fi,2016-04-01,2016-06-01,2012-11-15,2018-10-15
Mahou Shoujo Tokushusen Asuka,"Action,Drama",7204,2084,6.34,12,24 min. per ep.,TV ,85945,7.06,7737.0,3471.0,5734.0,69,"Jun  25, 2015 to Feb  25, 2021",['Seinen'],Big Gangan,"Fukami, Makoto (Story), Tokiya, Seigo (Art)",True,Action,Drama,,2019-01-01,2019-03-01,2015-06-25,2021-02-25
Choujin Locke,"Action,Sci-Fi",7184,8487,6.34,1,1 hr. 59 min.,Movie ,4279,7.46,3183.0,18909.0,650.0,Unknown,1979 to  1989,['Shounen'],,"Hijiri, Yuki (Story & Art)",True,Action,Sci-Fi,,1984-03-01,1984-03-01,1979-01-01,1989-01-01
ChäoS;Child,"Mystery,Sci-Fi,Supernatural",7183,1469,6.34,12,23 min. per ep.,TV ,134105,6.99,8888.0,14509.0,998.0,26,"Dec  29, 2015 to Feb  28, 2018",[],Dengeki G's Comic,Re,True,Mystery,Sci-Fi,Supernatural,2017-01-01,2017-03-01,2015-12-29,2018-02-28
Futari Ecchi,"Comedy,Romance,Slice of Life,Ecchi",7191,3300,6.34,4,27 min. per ep.,OVA ,37456,7.26,5186.0,1216.0,15179.0,Unknown,Jan  1997 to ?,['Seinen'],Young Animal,"Katsu, Aki (Story & Art)",True,Comedy,Romance,Slice of Life,2002-07-01,2004-01-01,1997-01-01,Ongoing or Hiatus
"Tantei wa Mou, Shindeiru.","Comedy,Drama,Mystery,Romance",7167,644,6.34,12,25 min. per ep.,TV ,372911,7.72,1627.0,2847.0,6957.0,Unknown,"Nov  25, 2019 to ?",[],,"Umibouzu (Art), Nigojuu (Story)",True,Comedy,Drama,Mystery,2021-07-01,2021-09-01,2019-11-25,Ongoing or Hiatus
Sanctuary,"Action,Drama,Suspense",7158,7819,6.34,1,1 hr. 7 min.,OVA ,5776,8.24,369.0,512.0,33253.0,108,1990 to  1995,['Seinen'],Big Comic Superior,"Ikegami, Ryouichi (Art), Buronson (Story)",True,Action,Drama,Suspense,1996-05-01,1996-05-01,1990-01-01,1995-01-01
RPG Fudousan,"Comedy,Fantasy",7135,3729,6.35,12,23 min. per ep.,TV ,47231,7.18,6202.0,15297.0,919.0,Unknown,"Apr  28, 2018 to ?",[],Manga Time Kirara Carat,"Kenmotsu, Chiyo (Story & Art)",True,Comedy,Fantasy,,2022-04-01,2022-06-01,2018-04-28,Ongoing or Hiatus
Babel Nisei,"Adventure,Sci-Fi,Supernatural",7104,10254,6.35,39,25 min. per ep.,TV ,2455,6.97,9177.0,16596.0,805.0,63,"Jul  5, 1971 to Nov  12, 1973",['Shounen'],Shounen Champion (Weekly),"Yokoyama, Mitsuteru (Story & Art)",True,Adventure,Sci-Fi,Supernatural,1973-01-01,1973-09-01,1971-07-05,1973-11-12
Venus Versus Virus,"Drama,Romance,Supernatural",7066,3564,6.36,12,24 min. per ep.,TV ,30497,7.14,6670.0,4160.0,4746.0,37,"Jun  27, 2005 to Jul  26, 2008",['Seinen'],Dengeki Daioh,"Suzumi, Atsushi (Story & Art)",True,Drama,Romance,Supernatural,2007-01-01,2007-03-01,2005-06-27,2008-07-26
Seikon no Qwaser,"Action,Supernatural,Ecchi",7037,640,6.37,24,24 min. per ep.,TV ,332407,6.98,8914.0,1466.0,13087.0,119,"Aug  19, 2006 to Jul  19, 2016",['Seinen'],Champion RED,"Satou, Kenetsu (Art), Yoshino, Hiroyuki (Story)",True,Action,Supernatural,Ecchi,2010-01-01,2010-06-01,2006-08-19,2016-07-19
Tetsujin 28-gou,"Adventure,Sci-Fi",7039,8797,6.37,96,25 min. per ep.,TV ,4051,7.46,3209.0,18883.0,651.0,307,Jul  1956 to May  1966,['Shounen'],,"Yokoyama, Mitsuteru (Story & Art)",True,Adventure,Sci-Fi,,1963-10-01,1965-05-01,1956-07-01,1966-05-01
Happy Happy Clover,"Comedy,Fantasy",7019,10475,6.37,13,25 min. per ep.,TV ,1968,7.29,4873.0,12047.0,1299.0,60,"Jul  2, 2005 to Oct  3, 2008",['Shoujo'],Ciao,"Tatsuyama, Sayuri (Story & Art)",True,Comedy,Fantasy,,2007-07-01,2007-09-01,2005-07-02,2008-10-03
Shin Megami Tensei Devil Children,"Action,Adventure,Fantasy,Sci-Fi,Supernatural",6970,9358,6.38,50,23 min. per ep.,TV ,3412,6.98,8923.0,20786.0,548.0,26,"Mar  6, 2001 to ?",['Kids'],,"Fujii, Hideaki (Story & Art), Atlus (Story)",True,Action,Adventure,Fantasy,2000-10-01,2001-09-01,2001-03-06,Ongoing or Hiatus
Kämpfer,"Action,Comedy,Girls Love,Romance,Ecchi",6927,745,6.39,12,24 min. per ep.,TV ,290504,7.05,7901.0,7651.0,2364.0,64,"Nov  24, 2006 to Mar  25, 2010",[],,"Tsukiji, Toshihiko (Story), Senmu (Art)",True,Action,Comedy,Girls Love,2009-10-01,2009-12-01,2006-11-24,2010-03-25
Tokyo Ghoul:re,"Action,Fantasy,Horror",6955,118,6.39,12,24 min. per ep.,TV ,1196181,8.28,324.0,21.0,279753.0,181,"Oct  16, 2014 to Jul  5, 2018",['Seinen'],Young Jump,"Ishida, Sui (Story & Art)",True,Action,Fantasy,Horror,2018-04-01,2018-06-01,2014-10-16,2018-07-05
Eromanga-sensei,"Comedy,Drama,Romance,Ecchi",6913,243,6.39,12,23 min. per ep.,TV ,725978,7.21,5767.0,2718.0,7294.0,59,"Dec  10, 2013 to Aug  10, 2022",[],,"Fushimi, Tsukasa (Story), Kanzaki, Hiro (Art)",True,Comedy,Drama,Romance,2017-04-01,2017-06-01,2013-12-10,2022-08-10
