Date,Comedy,Action,Drama,Romance,Fantasy,Adventure,Slice of Life,Supernatural,Sci-Fi,Mystery,Ecchi,Horror,Sports,Girls Love,Suspense,Boys Love,Gourmet,Avant Garde
2011-11,4,1,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2011-12,4,2,1,5,2,0,3,1,1,0,0,0,0,0,0,0,0,0
2012-01,3,2,4,1,1,1,1,1,2,3,0,0,0,0,0,0,0,0
2012-02,4,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0
2012-03,2,0,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-04,3,1,1,0,3,0,2,3,1,0,1,0,0,0,0,0,0,0
2012-05,4,4,0,2,4,1,1,2,0,1,0,1,0,0,0,0,0,0
2012-06,3,5,0,1,5,2,3,3,0,0,0,1,0,0,0,0,0,0
2012-07,3,3,0,1,1,1,0,0,0,1,2,1,0,0,0,0,0,0
2012-08,2,2,2,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0
2012-09,1,3,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0
2012-10,0,1,1,1,3,2,1,0,1,0,0,0,0,1,0,0,0,0
2012-11,1,2,0,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0
2012-12,2,4,1,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0
2013-01,4,3,0,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0
2013-02,2,3,2,0,1,0,1,1,2,0,0,0,0,0,1,0,1,0
2013-03,0,1,3,3,0,0,0,0,2,1,0,2,0,1,0,1,0,0
2013-04,3,0,4,5,2,0,3,0,1,0,0,0,0,0,0,1,0,0
2013-05,2,3,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0
2013-06,1,1,3,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0
2013-07,2,2,2,4,2,1,2,0,0,0,2,0,1,0,0,0,0,0
2013-08,2,5,2,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0
2013-09,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013-10,3,3,4,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
2013-11,1,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2013-12,5,3,1,2,1,0,0,1,2,2,0,1,0,0,0,0,0,0
2014-01,1,2,3,1,3,1,1,0,1,0,1,0,0,0,1,0,0,0
2014-02,0,1,2,1,3,2,0,1,2,1,1,0,0,1,0,0,1,0
2014-03,2,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
2014-04,2,3,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0
2014-05,3,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
2014-06,3,1,2,1,2,1,4,0,0,0,0,0,0,0,0,0,1,0
2014-07,3,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2014-08,4,2,0,1,0,1,3,0,2,1,0,0,0,1,0,0,0,0
