Title,Genres,Anime_Rank,Anime_Popularity,Anime_Score,Episodes,Episode_length,Stream_type,Start date,End date,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Manga_Chapters,Manga_Published,Manga_Demographics,Manga_Serialization,Manga_Author,Manga,Cluster
Shaman King,Action,957.0,551,7.76,64,23 min. per ep.,TV ,Jul 2001 , Sep 2002,368409,7.78,1343.0,203.0,73398.0,288,"Jun  30, 1998 to Aug  30, 2004",['Shounen'],Shounen Jump (Weekly),"Takei, Hiroyuki (Story & Art)",True,1
Overlord II,Action,955.0,153,7.76,13,23 min. per ep.,TV ,Jan 2018 , Apr 2018,1034066,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
BanG Dream! Garupa☆Pico: Oomori,Other,963.0,5686,7.76,26,3 min. per ep.,ONA ,May 2020 , Oct 2020,12140,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Texhnolyze,Action,961.0,898,7.76,22,23 min. per ep.,TV ,Apr 2003 , Sep 2003,255871,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Shanhe Jian Xin,Action,958.0,6712,7.76,16,28 min. per ep.,ONA ,Feb 2021 , Mar 2021,10353,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
New Initial D Movie: Legend 1 - Kakusei,Other,945.0,3395,7.77,1,1 hr. 2 min.,Movie ,Aug 2014 , Aug 2014,39357,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Ojamajo Doremi Na-i-sho,Comedy,946.0,5699,7.77,13,25 min. per ep.,OVA ,Jun 2004 , Dec 2004,11632,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Kokoro Connect,Drama,942.0,184,7.77,13,24 min. per ep.,TV ,Jul 2012 , Sep 2012,838679,8.07,614.0,1727.0,11133.0,91,"Jan  30, 2010 to Sep  30, 2013",[],,"Horiguchi, Yukiko (Art), Anda, Sadanatsu (Story)",True,1
Genshiken 2,Comedy,967.0,2035,7.76,12,24 min. per ep.,TV ,Oct 2007 , Dec 2007,84201,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Hidamari Sketch x SP,Comedy,941.0,4885,7.77,2,24 min. per ep.,TV Special ,Oct 2011 , Nov 2011,15508,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Ranma ½,Comedy,956.0,858,7.76,161,24 min. per ep.,TV ,Apr 1989 , Sep 1992,257758,7.98,779.0,312.0,49911.0,407,"Aug  5, 1987 to Feb  21, 1996",['Shounen'],Shounen Sunday,"Takahashi, Rumiko (Story & Art)",True,1
Maria-sama ga Miteru 4th,Other,944.0,4142,7.77,13,25 min. per ep.,TV ,Jan 2009 , Mar 2009,23211,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Digimon Adventure: Bokura no War Game!,Adventure,936.0,2156,7.77,1,41 min.,Movie ,Mar 2000 , Mar 2000,80090,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Devilman: Crybaby,Action,934.0,123,7.77,10,25 min. per ep.,ONA ,Jan 2018 , Jan 2018,1161736,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Ghost Hunt,Horror,938.0,907,7.77,25,25 min. per ep.,TV ,Oct 2006 , Mar 2007,232446,8.23,379.0,1177.0,15500.0,43,"Dec  6, 1997 to Sep  30, 2010",['Shoujo'],Nakayoshi,"Inada, Shiho (Story & Art), Ono, Fuyumi (Story)",True,1
"Haikyuu!! vs. ""Akaten""",Other,940.0,2008,7.77,1,24 min.,OVA ,May 2016 , May 2016,95484,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
