Anime_Score,Anime_Rank,Anime_Popularity,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Genres,Stream_type,Cluster
8.13,405.0,89,1463626,8.5,141.0,441.0,37902.0,"Action,Adventure,Comedy,Fantasy",TV ,3
8.14,386.0,214,796663,7.09,7347.0,5842.0,3235.0,"Drama,Romance,Sci-Fi",Movie ,2
8.14,388.0,598,435087,8.46,168.0,494.0,34127.0,"Mystery,Suspense",TV ,3
8.15,384.0,972,220267,7.21,5817.0,8398.0,2108.0,"Action,Adventure,Fantasy",TV ,2
8.15,377.0,864,252030,6.93,9618.0,7560.0,2401.0,"Drama,Mystery,Sci-Fi,Supernatural,Suspense",TV ,2
8.15,374.0,468,441907,8.37,237.0,246.0,62635.0,"Adventure,Comedy,Drama,Fantasy,Romance",TV ,3
8.16,366.0,212,861608,8.68,56.0,89.0,129171.0,"Action,Adventure,Horror,Sci-Fi,Supernatural",Movie ,3
8.16,363.0,117,1133797,8.5,140.0,92.0,125957.0,"Comedy,Romance",TV ,3
8.19,346.0,679,349585,8.71,48.0,231.0,65569.0,"Adventure,Mystery,Sci-Fi,Slice of Life",TV ,3
8.2,331.0,437,465415,8.57,100.0,364.0,44808.0,"Drama,Slice of Life,Sports",TV ,3
8.2,328.0,308,625188,8.38,225.0,48.0,172128.0,"Comedy,Drama,Romance",TV ,3
8.19,337.0,126,1078746,7.51,2848.0,13453.0,1113.0,"Action,Fantasy,Supernatural",TV ,2
8.2,324.0,2346,74299,8.16,471.0,1040.0,17333.0,"Comedy,Drama,Romance,Slice of Life",TV ,0
8.19,336.0,669,338626,8.36,242.0,422.0,39130.0,"Comedy,Drama,Romance,Sports",TV ,3
8.21,314.0,115,1402718,8.43,191.0,16.0,331533.0,"Comedy,Romance,Slice of Life",TV ,1
8.22,305.0,240,769979,7.72,1601.0,454.0,36930.0,"Action,Adventure,Comedy,Drama,Sci-Fi",TV ,3
8.22,302.0,645,368915,7.33,4444.0,7481.0,2434.0,"Drama,Romance,Slice of Life",Movie ,2
8.23,289.0,119,1239456,7.3,4709.0,1123.0,16071.0,"Action,Adventure,Supernatural",TV ,2
8.24,287.0,345,791363,8.81,33.0,432.0,38399.0,"Action,Drama,Sci-Fi",TV ,3
8.25,275.0,23,2213866,8.79,35.0,221.0,67351.0,"Drama,Fantasy,Suspense",TV ,3
8.26,268.0,340,671969,7.3,4767.0,6688.0,2787.0,"Action,Adventure,Comedy,Mystery",TV ,2
8.27,262.0,866,256300,8.27,337.0,295.0,53195.0,"Drama,Romance,Sci-Fi",TV ,3
8.27,263.0,432,494090,7.62,2141.0,16428.0,817.0,"Adventure,Fantasy,Romance,Sci-Fi",Movie ,2
8.24,282.0,197,825330,8.82,31.0,244.0,62836.0,"Adventure,Fantasy,Romance",TV ,3
