MDS1,MDS2,Genres,Stream_type,Anime_Score,Anime_Rank,Anime_Popularity,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members
118719.71503663306,-463213.74768615083,Action,TV ,8.07,488.0,706,305169,8.09,594.0,217.0,68873.0
5777.441088207535,-232381.34572802435,Drama,TV ,8.07,483.0,362,555906,8.07,622.0,3033.0,6577.0
55059.481169261424,-110190.26723470374,Comedy,TV ,8.08,473.0,311,663327,8.54,115.0,159.0,87566.0
134080.13831123651,-629230.1219395206,Comedy,TV ,8.08,471.0,1451,139976,8.12,530.0,357.0,45524.0
118088.94138413864,-735368.3366860545,Action,OVA ,8.08,474.0,3082,41084,7.09,7297.0,16023.0,851.0
32965.1762099658,-511131.73824119015,Comedy,TV ,8.09,459.0,791,271854,8.56,105.0,151.0,90515.0
-915.2961309907139,159031.65483446472,Fantasy,TV ,8.07,486.0,177,938461,8.34,259.0,152.0,90474.0
-188625.6026774575,1242299.0011151263,Action,TV ,8.1,440.0,35,2036064,8.26,345.0,69.0,153667.0
-367800.0166688198,1585092.4876430545,Comedy,TV ,8.11,429.0,15,2410956,8.45,177.0,262.0,59231.0
94693.83490259571,-478210.8748220946,Comedy,TV ,8.09,453.0,737,296160,8.33,274.0,405.0,40649.0
-357040.8248105625,1390973.6764883928,Drama,TV ,8.11,435.0,18,2219493,8.24,370.0,646.0,26776.0
69775.62146682962,730831.9639805922,Action,TV ,8.12,416.0,70,1479242,9.03,8.0,20.0,289528.0
-275585.2334061105,1166786.9143059314,Adventure,TV ,8.12,418.0,37,1982429,8.62,81.0,303.0,52016.0
-169488.6233805685,608815.8419120864,Action,TV ,8.12,415.0,78,1414692,8.33,273.0,650.0,26640.0
-50729.26989667035,916505.3361827903,Action,TV ,8.12,410.0,73,1687488,7.86,1075.0,33.0,213243.0
106724.95019876899,-531310.2555696851,Comedy,TV ,8.12,420.0,919,241619,8.25,355.0,404.0,40746.0
-169597.26674224169,658990.0055616467,Action,TV ,8.13,405.0,89,1463626,8.5,141.0,441.0,37902.0
-52364.80260402682,1921.9969197630858,Drama,Movie ,8.14,386.0,214,796663,7.09,7347.0,5842.0,3235.0
57516.84657657558,-344258.8738913704,Mystery,TV ,8.14,388.0,598,435087,8.46,168.0,494.0,34127.0
75301.43777720848,-561032.5930174999,Action,TV ,8.15,384.0,972,220267,7.21,5817.0,8398.0,2108.0
68956.34764103814,-529938.8689717739,Drama,TV ,8.15,377.0,864,252030,6.93,9618.0,7560.0,2401.0
82207.33972647203,-331314.3985025244,Adventure,TV ,8.15,374.0,468,441907,8.37,237.0,246.0,62635.0
52661.96979669348,92562.70427741925,Action,Movie ,8.16,366.0,212,861608,8.68,56.0,89.0,129171.0
-10296.631042970772,357298.24283029325,Comedy,TV ,8.16,363.0,117,1133797,8.5,140.0,92.0,125957.0
105973.71132678654,-420552.10004564084,Adventure,TV ,8.19,346.0,679,349585,8.71,48.0,231.0,65569.0
60444.81421066997,-312381.4439462611,Drama,TV ,8.2,331.0,437,465415,8.57,100.0,364.0,44808.0
143718.1302557544,-128312.26153732461,Comedy,TV ,8.2,328.0,308,625188,8.38,225.0,48.0,172128.0
-119529.7448917701,275845.6238742222,Action,TV ,8.19,337.0,126,1078746,7.51,2848.0,13453.0,1113.0
122184.68348457727,-699550.5291645639,Comedy,TV ,8.2,324.0,2346,74299,8.16,471.0,1040.0,17333.0
83862.70516643717,-437099.3108485659,Comedy,TV ,8.19,336.0,669,338626,8.36,242.0,422.0,39130.0
127402.72486074052,665763.4965663381,Comedy,TV ,8.21,314.0,115,1402718,8.43,191.0,16.0,331533.0
-13703.712188761061,-16752.272939221657,Action,TV ,8.22,305.0,240,769979,7.72,1601.0,454.0,36930.0
41382.41599502106,-415979.6297489623,Drama,Movie ,8.22,302.0,645,368915,7.33,4444.0,7481.0,2434.0
-140130.40002122681,435863.38988460466,Action,TV ,8.23,289.0,119,1239456,7.3,4709.0,1123.0,16071.0
-17073.58323987577,4414.495802347683,Action,TV ,8.24,287.0,345,791363,8.81,33.0,432.0,38399.0
-316092.5962529395,1394921.5016490098,Drama,TV ,8.25,275.0,23,2213866,8.79,35.0,221.0,67351.0
-23802.554770504532,-119710.13433984359,Action,TV ,8.26,268.0,340,671969,7.3,4767.0,6688.0,2787.0
114417.81718108233,-514357.06582497305,Drama,TV ,8.27,262.0,866,256300,8.27,337.0,295.0,53195.0
11279.96557149444,-294530.9555996731,Adventure,Movie ,8.27,263.0,432,494090,7.62,2141.0,16428.0,817.0
-1824.4613289840745,42732.13723179721,Adventure,TV ,8.24,282.0,197,825330,8.82,31.0,244.0,62836.0
-249228.9915499972,939826.6265555389,Comedy,TV ,8.28,252.0,57,1755327,7.88,1028.0,703.0,24798.0
110108.89135939592,-573788.6126210465,Other,TV ,8.28,251.0,1544,199558,8.53,122.0,499.0,33894.0
45156.86151920003,-237872.68349697936,Mystery,TV ,8.32,218.0,1325,541464,8.22,390.0,344.0,46486.0
26612.3003957639,-358832.67508261977,Adventure,Movie ,8.28,255.0,490,427955,7.63,2048.0,11631.0,1365.0
63382.78771664639,-390234.9757097496,Drama,TV ,8.32,217.0,542,388967,8.52,129.0,577.0,29512.0
-40340.47312302291,-40532.89082884657,Comedy,TV ,8.32,216.0,245,752658,8.3,293.0,4325.0,4503.0
-97524.47415275424,213164.64800626945,Drama,Movie ,8.32,219.0,171,1012751,7.73,1575.0,2649.0,7496.0
115777.31620706191,-674626.7374983343,Drama,TV ,8.33,213.0,1967,100057,8.34,263.0,1077.0,16766.0
-226806.63934595787,802194.8246161792,Drama,TV ,8.33,207.0,56,1616120,8.17,447.0,1216.0,15179.0
-158871.13928939487,604612.8398756421,Mystery,TV ,8.34,204.0,79,1408208,8.51,135.0,465.0,35957.0
4545.3818496812455,-222866.94696786912,Action,TV ,8.33,208.0,349,565434,8.53,120.0,2663.0,7460.0
41573.016842109464,-235370.3512869868,Drama,TV ,8.32,214.0,371,544732,8.66,66.0,377.0,43290.0
28871.932947959314,-286532.9581971091,Comedy,TV ,8.27,264.0,441,497920,8.39,217.0,998.0,17768.0
21882.906947644035,104219.50871504529,Adventure,TV ,8.39,174.0,232,879906,8.32,277.0,131.0,100952.0
